ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2455347,mechanical engineering,機械工程；機(械)工(程)學,,机械工程,2015-09-16
2455348,theory of mechanisms,機構學(mechanism),,机构学,2015-09-16
2455349,machine,機械；機器,,机器,2015-09-16
2455350,mechanism,機構；機構學；機動學,,机构,2015-09-16
2455351,machinery,機製；機器,,机械,2015-09-16
2455352,mechanical system,機械系統,,机械系统,2015-09-16
2455353,machine element,機械元件；機械零件；機器單元,,[机械]零件,2015-09-16
2455354,machine part,機件；機器零件,,[机械]零件,2015-09-16
2455355,link,連桿；鏈環鏈帶；月牙板,,构件,2015-09-16
2455356,rigid link,剛性連桿,,刚性构件,2015-09-16
2455357,elastic link,彈性連桿,,弹性构件,2015-09-16
2455358,flexible link,可撓連桿；彎曲連桿,,挠性构件,2015-09-16
2455359,fixed link,固定桿,,固定构件,2015-09-16
2455360,moving link,運動連桿,,运动构件,2015-09-16
2455361,driving link,主動桿,,主动件,2015-09-16
2455362,driven link,從動桿；驅動連桿,,从动件,2015-09-16
2455363,kinematic pair,運動對,,运动副,2015-09-16
2455364,revolving joint,旋轉接頭,,转动副,2015-09-16
2455365,hinge,鉸鏈，合葉。,,铰链连接,2015-09-16
2455366,multiple hinges,複鉸鏈；倍數鉸鏈；多重鉸鏈。,,复合铰链,2015-09-16
2455367,cylindrical pair,圓柱對,,圆柱副,2015-09-16
2455368,spherical pair,球面對,,球面副,2015-09-16
2455369,sphere-pin pair,球銷對,,球销副,2015-09-16
2455370,sphere-trough pair,球槽對,,球槽副,2015-09-16
2455371,helical pair,螺旋〔運動〕對,,螺旋副,2015-09-16
2455372,screw pair,螺旋〔運動〕對,,螺旋副,2015-09-16
2455373,planar contact pair,平面〔運動〕對,,平面副,2015-09-16
2455374,sandwich pair,平面〔運動〕對,,平面副,2015-09-16
2455375,lower pair,低對,,低副,2015-09-16
2455376,higher pair,高對,,高副,2015-09-16
2455377,planar mechanism,平面機構,,平面机构,2015-09-16
2455378,spatial mechanism,空間機構,,空间机构,2015-09-16
2455379,kinematics of mechanism,機構運動學；機構動力學,,机构运动学,2015-09-16
2455380,instantaneous center/centre of velocity,瞬時速度中心,,速度瞬心,2015-09-16
2455381,Aronhold-Kennedy theorem,三心定理,,三心定理,2015-09-16
2455382,static load,靜負載；靜態負載,,静载荷,2015-09-16
2455383,dynamic load,動力負載,,动载荷,2015-09-16
2455384,impulse,脈衝；衡量,,冲量,2015-09-16
2455385,moment,力矩；瞬時,,力矩,2015-09-16
2455386,couple,力偶,,力偶,2015-09-16
2455387,self locking,自鎖,,自锁,2015-09-16
2455388,impact,衝擊，撞擊,,碰撞,2015-09-16
2455389,elastic impact,彈性衝擊,,弹性碰撞,2015-09-16
2455390,inelastic impact,非彈性衝擊,,非弹性碰撞,2015-09-16
2455391,elementary work,基本功,,微元功,2015-09-16
2455392,simple pendulum,單擺,,单摆,2015-09-16
2455393,compound pendulum,複擺,,复摆,2015-09-16
