ID,英文名詞,中文名詞,詞類,更新日期
21383598,abutment line,橋台線,橋梁工程,
21383599,abutment wall,橋台軀體,橋梁工程,
21383600,abutting joint,對抵接頭；毗連接頭,橋梁工程,
21383601,accelerated bridge construction (ABC),快速橋梁施工,橋梁工程,
21383602,accelerated bridge program (ABP) ,快速橋梁施工計畫,橋梁工程,
21383603,accidental discovery,遺址發掘,橋梁工程,
21383604,acid Bessemer steel,酸性柏思麥鋼 ,橋梁工程,
21383605,acid open-hearth furnace,酸性平爐 ,橋梁工程,
21383606,acid open-hearth process,酸性平爐法,橋梁工程,
21383607,acid open-hearth steel,酸性平爐鋼 ,橋梁工程,
21383608,activity of cement,水泥活性,橋梁工程,
21383609,actual horsepower,實際馬力,橋梁工程,
21383610,adiabatic curve,絕熱曲線 ,橋梁工程,
21383611,adjustable eye-bar,可調式眼桿,橋梁工程,
21383612,adjustable key,活動扳手,橋梁工程,
21383613,adjustable member,可調桿件,橋梁工程,
21383614,adjusting key,活動扳手,橋梁工程,
21383615,administration,主管機關,橋梁工程,
21383616,adopt-a-bridge program,橋梁認養計畫,橋梁工程,
21383617,adulterant,摻假物,橋梁工程,
21383618,adulteration,摻假 ,橋梁工程,
21383619,advancing load stress,預加載重應力,橋梁工程,
21383620,adze,錛；錛鋤,橋梁工程,
21383621,aesthetic requirement,美學要求,橋梁工程,
21383622,air chamber,氣室 ,橋梁工程,
21383623,air compressor,空壓機；空氣壓縮機,橋梁工程,
21383624,air current,氣流,橋梁工程,
21383625,air cushion,氣墊,橋梁工程,
21383626,air cylinder,氣缸 ,橋梁工程,
21383627,air dolly,氣動台車,橋梁工程,
21383628,air gauge,氣壓計；氣壓表,橋梁工程,
21383629,air gun,氣槍,橋梁工程,
21383630,air hammer,氣鎚 ,橋梁工程,
21383631,air hoist,氣壓起重機,橋梁工程,
21383632,air hose,輸氣管,橋梁工程,
21383633,air line,航線；架空線；空氣線,橋梁工程,
21383634,air piston,氣動活塞 ,橋梁工程,
21383635,air pressure,氣壓,橋梁工程,
21383636,air pump,空氣泵；空氣幫浦,橋梁工程,
21383637,air reamer,氣動鉸孔機 ,橋梁工程,
21383638,air riveter,氣動鉚釘槍,橋梁工程,
21383639,air shaft,通風井 ,橋梁工程,
21383640,air slaked lime,風化石灰 ,橋梁工程,
21383641,air slaking,風化,橋梁工程,
21383642,air working chamber,沉箱工作氣室,橋梁工程,
21383643,air-blast,氣爆,橋梁工程,
21383644,air-lift,氣升器；氣力起重機 ,橋梁工程,
21383645,air-lift pump,氣升泵,橋梁工程,
21383646,air-lock,氣鎖室,橋梁工程,
21383647,air-receiver,貯氣箱；集氣箱,橋梁工程,
21383648,air-setting,空氣固化,橋梁工程,
21383649,algebraic curve,代數曲線 ,橋梁工程,
21383650,alkaline copper quarternary (ACQ),鹼性銅烷基銨化合物{木材防腐劑},橋梁工程,
21383651,alligator riveter,鉗口鉚釘機,橋梁工程,
21383652,alligator wrench,鱷齒扳手,橋梁工程,
21383653,allowable unit stress,容許單位應力,橋梁工程,
21383654,alloy,合金,橋梁工程,
21383655,alloy steel,合金鋼,橋梁工程,
21383656,alluvial deposition,沖積淤積；沖淤,橋梁工程,
21383657,all-welded construction bridge,全銲接[施工]橋梁,橋梁工程,
21383658,alternate layout,替代方案；替選方案,橋梁工程,
21383659,alternating current,交流電,橋梁工程,
21383660,alternative layout,替選配置,橋梁工程,
21383661,aluminum,鋁,橋梁工程,
21383662,aluminum bronze,鋁青銅 ,橋梁工程,
21383663,American Association of State and Highway Transportation Officials (AASHTO) ,美國國家公路與運輸官員協會,橋梁工程,
21383664,ammeter,電流計；安培計 ,橋梁工程,
21383665,amorphous,非晶質 ,橋梁工程,
21383666,amortization,資本攤提；攤銷,橋梁工程,
21383667,amount,總計；本利和,橋梁工程,
21383668,anchor arm,錨定端邊跨,橋梁工程,
21383669,anchor bar,錨定棒,橋梁工程,
21383670,anchor pier,錨定橋墩,橋梁工程,
21383671,anchor plate,錨定板,橋梁工程,
21383672,anchor shackle,錨接環,橋梁工程,
21383673,anchor span,錨定端邊跨,橋梁工程,
21383674,angle,角鋼；夾角,橋梁工程,
21383675,angle clip,剪力連接角鋼,橋梁工程,
21383676,angle joint,斜接；角接,橋梁工程,
21383677,angle lacing,角鋼繫條,橋梁工程,
21383678,angle lug,短角鐵；短角鋼,橋梁工程,
21383679,angle of friction,摩擦角,橋梁工程,
21383680,angle of rupture,破裂角,橋梁工程,
21383681,angle of torsion,扭角；扭轉角,橋梁工程,
21383682,angle shears,角鐵剪切機,橋梁工程,
21383683,angle strut,角鋼支撐；角鋼支柱；角鋼支桿,橋梁工程,
21383684,angle-iron,角鋼,橋梁工程,
21383685,angular fracture,角尖破裂；角端破裂,橋梁工程,
21383686,angular strain,扭轉應變；角應變,橋梁工程,
21383687,angular velocity,角速度,橋梁工程,
21383688,anneal,退火；回火；韌化,橋梁工程,
21383689,annealing furnace,退火爐 ,橋梁工程,
21383690,annual average daily traffic (AADT) ,年平均每日交通流量,橋梁工程,
21383691,annual exceedance probability (AEP) ,年超越機率,橋梁工程,
21383692,annuity,年金,橋梁工程,
21383693,anvil,鐵砧,橋梁工程,
21383694,anvil vise,砧鉗,橋梁工程,
21383695,apex,桁架頂點,橋梁工程,
21383696,apex load,桁架頂點載重,橋梁工程,
21383697,apparent stress,視應力 ,橋梁工程,
21383698,approach,引道,橋梁工程,
21383699,approach embankment,引道路堤,橋梁工程,
21383700,approach map,進橋版,橋梁工程,
