ID,英文名稱,中文名稱,圖片,更新日期
203521,dusk visual,黃昏目視,,2012-11-26
203522,dusk,拂曉;終昏,,2012-11-26
203523,duration,期間,,2012-11-26
203524,duralclad,鋁夾板,,2012-11-26
203525,duralumin,杜拉鋁;硬鋁,,2012-11-26
203526,durability,耐久性,,2012-11-26
203527,dural,杜拉鋁;硬鋁,,2012-11-26
203528,duplex nozzle,雙重噴嘴,,2012-11-26
203529,duplexer,收發合用天線,,2012-11-26
203530,duplex,雙工制,,2012-11-26
203531,dump valve,漏油瓣,,2012-11-26
203532,dumping fuel,放油,,2012-11-26
203533,dump combustor,突張式燃燒器,,2012-11-26
203534,dump chute,排油斜管,,2012-11-26
203535,dummy run,預習,,2012-11-26
203536,dummy payload,假酬載,,2012-11-26
203537,dummy load,假負載,,2012-11-26
203538,dummy,假人,,2012-11-26
203539,dummy antenna,仿真天線,,2012-11-26
203540,dud,失效飛彈;不發彈,,2012-11-26
203541,duct propulsion,導管推進,,2012-11-26
203542,ductility,延展性,,2012-11-26
203543,ductile metal,延性金屬,,2012-11-26
203544,ductile cast iron,延性鑄鐵,,2012-11-26
203545,ducted rocket,導管火箭,,2012-11-26
203546,ducted fan engine,導管風扇發動機,,2012-11-26
203547,ducted fan,導管風扇,,2012-11-26
203548,duct-burning turbofan (DBTF),導管燃燒式渦輪風扇發動機,,2012-11-26
203549,duck,水陸兩用機,,2012-11-26
203550,duct,輸流管;導管;線溝,,2012-11-26
203551,dual wheels (DW),雙輪,,2012-11-26
203552,dual wheel control,雙盤控制,,2012-11-26
203553,dual thrust,雙級推力,,2012-11-26
203554,dual tandem wheels (DTW),前後雙輪,,2012-11-26
203555,dual tachometer and synchroscope,複式同步轉數表,,2012-11-26
203556,dual-rotation,雙旋轉,,2012-11-26
203557,dual rotor system,雙旋翼系統,,2012-11-26
203558,dual mode transmitter,雙模式發射器,,2012-11-26
203559,dual instruction time,帶飛時間,,2012-11-26
203560,dual instruction flight,帶飛,,2012-11-26
203561,dual indicator,複式指示器,,2012-11-26
203562,dual ignition system,複式點火系,,2012-11-26
203563,dual flight,雙飛,,2012-11-26
203564,dual facility approach,雙（助航）設備進場,,2012-11-26
203565,dual cycle,雙循環,,2012-11-26
203566,dual control unit,複式控制單元,,2012-11-26
203567,dual control system,複式控制系統,,2012-11-26
203568,dual control,複式控制,,2012-11-26
203569,dual compressor,複式壓縮器,,2012-11-26
203570,dry winding,乾式纏繞,,2012-11-26
203571,dry weight,乾重,,2012-11-26
203572,dry sump,乾機匣,,2012-11-26
203573,dry stage,乾階段,,2012-11-26
203574,dry spell,乾燥期,,2012-11-26
203575,dry season,乾季,,2012-11-26
203576,dry run,預習,,2012-11-26
203577,dry permafrost,乾燥永凍區,,2012-11-26
203578,dry lease,乾租,,2012-11-26
203579,dry hub,乾式旋翼轂,,2012-11-26
203580,dry hydrogen bomb,乾式氫彈,,2012-11-26
203581,dry haze,乾霾,,2012-11-26
203582,dry gyro,乾式陀螺儀,,2012-11-26
203583,dry fuel rocket,乾（固體）燃料火箭,,2012-11-26
203584,dry fuel,乾（固體）燃料,,2012-11-26
203585,dry freeze,乾凍,,2012-11-26
203586,dry fog,乾霧,,2012-11-26
203587,dry filter,乾過濾器,,2012-11-26
203588,dry emplacement,無水冷發射陣地,,2012-11-26
203589,dry climate,乾燥氣候,,2012-11-26
203590,dry bulb thermometer,乾球溫度計,,2012-11-26
203591,dry bulb temperature,乾球溫度,,2012-11-26
203592,dry balance,乾平衡,,2012-11-26
203593,dry adiabatic process,乾絕熱過程,,2012-11-26
203594,dry adiabatic lapse rate,乾絕熱直減率,,2012-11-26
203595,dry adiabat,乾絕熱線,,2012-11-26
203596,drum peel test,鼓形剝片試驗,,2012-11-26
203597,drugs,藥物,,2012-11-26
203598,drug abuse,藥物濫用,,2012-11-26
203599,drosometer,露量表,,2012-11-26
203600,drop test,拋投試驗,,2012-11-26
203601,drop tank,可拋油箱,,2012-11-26
203602,dropsonde,空投探空儀,,2012-11-26
203603,drop-off,速度下降,,2012-11-26
203604,drop (dropping) zone,空投區域,,2012-11-26
203605,drop ramp,活動斜臺,,2012-11-26
203606,droplet,小滴;液滴,,2012-11-26
203607,drop hammer die,落錘模,,2012-11-26
203608,drop hammer,落錘,,2012-11-26
203609,drop forging,落錘鍛造,,2012-11-26
203610,drop altitude,空投高度,,2012-11-26
203611,droop tip,下垂翼尖,,2012-11-26
203612,drone control center (DCC),無人飛機控制中心,,2012-11-26
203613,drone anti-submarine helicopter (DASH),遙控反潛直昇機,,2012-11-26
203614,drone,無人靶機,,2012-11-26
203615,drogue parachute,阻力傘;引導傘;斗形傘;穩定傘,,2012-11-26
203616,drogue,漏斗型輸油嘴;拖靶,,2012-11-26
203617,drizzle (DZ),毛毛雨,,2012-11-26
203618,driven snow,吹積雪,,2012-11-26
203619,drive (driving) shaft,傳動軸,,2012-11-26
203620,drive (driving) gear,傳動齒輪,,2012-11-26
203621,drive (driving) fit,壓嵌配合,,2012-11-26
203622,drive control power amplifier,驅動控制放大器,,2012-11-26
203623,drip stick,滴水桿,,2012-11-26
203624,drip flap,滴水帶,,2012-11-26
203625,D-ring,D形環（開傘扣環）,,2012-11-26
203626,drill press,鑽床,,2012-11-26
203627,drill plate fixture,鑽板夾定器,,2012-11-26
203628,drill jig,鑽模,,2012-11-26
203629,drilling machine,鑽床,,2012-11-26
203630,drift take off,起飛偏移,,2012-11-26
203631,drift sight,偏流觀測器,,2012-11-26
203632,drift scale,偏流刻度,,2012-11-26
203633,drift reading,偏航讀數,,2012-11-26
203634,drift rate,漂移率,,2012-11-26
203635,drift off area,側出跑道地區,,2012-11-26
203636,driftmeter,偏流器,,2012-11-26
203637,drifting snow,低吹雪,,2012-11-26
203638,drift indicator,偏流儀;偏航儀,,2012-11-26
203639,drift float,偏流浮標,,2012-11-26
203640,drift error,偏移誤差,,2012-11-26
203641,driftdown,飄降,,2012-11-26
203642,drift correction,偏流修正,,2012-11-26
203643,drift computer,偏流計算器,,2012-11-26
203644,drift bar,偏流桿,,2012-11-26
203645,drift angle (DA),飄移角;偏移角;偏流角,,2012-11-26
203646,drift,飄移;偏移;偏流,,2012-11-26
203647,dribbling,滴漏,,2012-11-26
203648,drawn wire,抽製線,,2012-11-26
203649,drawn parts,抽製件,,2012-11-26
203650,drawing list,圖目錄,,2012-11-26
203651,drawing,圖,,2012-11-26
203652,draw bench,抽製臺,,2012-11-26
203653,drape,垂延性,,2012-11-26
203654,drain valve,排放閥,,2012-11-26
203656,drag; wake,尾流阻力,,2012-11-26
203657,drag strut,阻力支柱,,2012-11-26
203658,drag stop,水平擺動限制,,2012-11-26
203659,drag; split,溢散阻力,,2012-11-26
203661,drag rudder,阻力方向舵,,2012-11-26
203662,drag rope,阻力索,,2012-11-26
203663,drag-rise factor,阻力增長係數,,2012-11-26
203667,drag polar,升阻係數曲線,,2012-11-26
203668,drag; perturbing,凸出物阻力,,2012-11-26
203670,drag parachute,阻力傘;減速率,,2012-11-26
203674,drag hinge,阻力鉸,,2012-11-26
203677,drag force,阻力,,2012-11-26
203679,drag divergence,阻力發散,,2012-11-26
203680,drag direction,阻力方向,,2012-11-26
203681,drag counting,阻力計算,,2012-11-26
203682,drag component,阻力分量,,2012-11-26
203683,drag coefficient,阻力係數,,2012-11-26
203684,drag chute,阻力傘;減速傘,,2012-11-26
203685,drag; cavity,穴阻力,,2012-11-26
203686,drag breakdown,阻力分解,,2012-11-26
203687,drag bracing,助張線;抗阻支張物,,2012-11-26
203688,drag bookkeeping,阻力簿記,,2012-11-26
203691,drag balance,阻力天平,,2012-11-26
203693,drag area,阻力面積,,2012-11-26
203695,drag; after end,後機身阻力,,2012-11-26
203696,drag,阻力,,2012-11-26
203697,drafting room,繪圖室,,2012-11-26
203698,drafting manual,繪圖手冊,,2012-11-26
203699,drafting machine,繪圖儀,,2012-11-26
203700,drafting,草圖,,2012-11-26
203701,draft,吃水量;徵兵,,2012-11-26
203702,downwind turn,順風轉彎,,2012-11-26
203703,downwind position,下風位置,,2012-11-26
203704,downwind leg,順風邊;航線第三邊,,2012-11-26
203705,downwind landing,順風落地,,2012-11-26
203706,downwind,下風;順風,,2012-11-26
203707,downwash velocity,下洗速度,,2012-11-26
203708,downwash; induced,誘導下洗,,2012-11-26
203709,downwash angle,下洗角,,2012-11-26
203710,downwash,下洗流,,2012-11-26
203711,downward velocity,向下速度,,2012-11-26
203712,downward pressure,向下壓力,,2012-11-26
203713,downward displacement,向下位移,,2012-11-26
203714,down stream,下游流,,2012-11-26
203715,down range,順向航程,,2012-11-26
203716,downlock switch,下鎖開關,,2012-11-26
203717,downlock,下鎖,,2012-11-26
203718,download,向下負載;掛載拋棄;卸載,,2012-11-26
203719,down link,向下傳訊;下鏈,,2012-11-26
203721,down draft carburetor,下向式汽化器,,2012-11-26
203722,down draft,下降氣流;下沖氣流,,2012-11-26
203723,down burst,下爆氣流,,2012-11-26
203724,dowel pin,定位銷,,2012-11-26
203725,double wedge airfoil,雙楔翼形,,2012-11-26
203726,double V engine,雙V形發動機,,2012-11-26
203727,doublet lines,偶流線,,2012-11-26
203728,double theodolite,雙經緯儀,,2012-11-26
203729,doublet distribution,偶流分布,,2012-11-26
203730,doublet,偶流,,2012-11-26
203731,double standard,雙重標準,,2012-11-26
203732,double stage compression,雙級壓縮,,2012-11-26
203733,double spar wing,雙樑機翼,,2012-11-26
203734,double snap roll,雙快滾,,2012-11-26
203735,double slotted flap,雙縫襟翼,,2012-11-26
203736,double sideband (DSB),雙邊帶,,2012-11-26
203737,double seater airplane,雙座飛機,,2012-11-26
203738,double row radial engine,雙排星形發動機,,2012-11-26
203739,double-return wind tunnel,二次回流風洞,,2012-11-26
203740,doubler,加強片,,2012-11-26
203741,double precision,倍準,,2012-11-26
203742,double-pole double-throw,雙刀雙投,,2012-11-26
203743,double plate shear test,雙片剪力試驗,,2012-11-26
203744,double modulation,雙重調變,,2012-11-26
203745,double integrating gyro,重積分陀螺儀,,2012-11-26
203746,double entry compressor,雙進口壓縮機,,2012-11-26
203747,double delta wing,複合三角翼,,2012-11-26
203748,double circular airfoil,雙圓弧翼形,,2012-11-26
203749,double channel simplex (DCS),雙波道單工,,2012-11-26
203750,double channel duplex (DCD),雙波道雙工,,2012-11-26
203751,double base propellant,雙基推進劑,,2012-11-26
203752,double attack system,雙重攻擊系統,,2012-11-26
203753,dosimeter,輻射表;劑量表,,2012-11-26
203754,dose-response curve,劑量反應曲線,,2012-11-26
203755,dorsal gun turret,上方炮塔,,2012-11-26
203756,dorsal fin,脊翅,,2012-11-26
203757,dorsal,機脊,,2012-11-26
203758,Doppler VOR (DVOR),都卜勒特高頻多向導航台,,2012-11-26
203759,Doppler system,都卜勒系統,,2012-11-26
203760,Doppler shift,都卜勒頻移,,2012-11-26
203761,Doppler radar,都卜勒雷達,,2012-11-26
203762,Doppler principle,都卜勒原理,,2012-11-26
203763,Doppler navigation system,都卜勒導航系統,,2012-11-26
203764,Doppler effect,都卜勒效應,,2012-11-26
203765,Doppler drift,都卜勒偏移,,2012-11-26
203766,Doppler best frequency (DBF),都卜勒最佳頻率,,2012-11-26
203767,Doppler beam sharpening (DBS),都卜勒敏銳波束,,2012-11-26
203768,dope proofing,明膠防護,,2012-11-26
203769,dope,塗料,,2012-11-26
203770,door operating handle,門的操作手把,,2012-11-26
203771,domestic object damage,內物損傷,,2012-11-26
203772,domestic air traffic,國內空中交通,,2012-11-26
203773,domestic air service,國內航空業務,,2012-11-26
203774,dome light,頂部燈,,2012-11-26
203775,dolly,拖架,,2012-11-26
203776,doldrums,赤道無風帶,,2012-11-26
203777,dogtooth,鋸齒,,2012-11-26
203778,dogleg maneuver,折線軌道操縱,,2012-11-26
203779,dogleg,折線,,2012-11-26
203780,dog-days,伏天,,2012-11-26
203781,dogfight,纏鬥,,2012-11-26
203782,document change form,文件變更表格,,2012-11-26
