ID,英文詞彙,中文詞彙,更新日期
21373092,"(hydroxyethyl) ethylenediamine triacedic acid, trisodium salt solution",羥乙基乙二胺三醋酸三納鹽溶液；羥乙基乙二胺三乙酸鈉二水合物；羥乙基乙二胺三乙酸三鈉鹽溶液,
21373099,2- ethylhexanoic acid,2-乙基己酸,
21373100,"2, 2 - dimethyloctanoic acid","2,2-異癸酸",
21373101,"2,2,4-trimethyl-1,3-pentanediol-1-isobutyrate","2,2,4-三甲基-1,3-戊乙醇-1-異丁酸酯 ;  2,2,4-三甲基-1,3-戊二醇-1-異丁酸酯",
21373102,2-ethoxyethanol,2-乙氧基乙醇,
21373103,3 - methyl - 3 - methoxy butanol,3-甲基-3-甲氧基丁醇,
21373104,3 - methyl - 3 -methoxy butyl acetate,3-甲基-3-甲氧基乙酸丁酯,
21373105,3-methoxy-1-butanol,3-甲氧基-1-丁醇,
21373106,3-methoxybutyl acetate,3-甲氧基乙酸丁酯,
21373107,8 hours - time weight average (8 hours -TWA),八小時日時量平均值,
21373108,8-time weighted average (8-TWA),八小時日時量平均值,
21373109,A bracket,艉軸架; 人字架,
21373110,A.C. welding generator,交流銲接發電機,
21373111,abysmal,深海的; 深淵的,
21373112,abyss,深海(指水深在800m以上),
21373113,abyssal,深海的; 深淵的,
21373114,abyssal anti-torpedo belt armor,深海水線裝甲防雷鼓包,
21373115,abyssal anti-torpedo bulge,深海防雷鼓包,
21373116,abyssalpelagic,深海海面的,
21373117,accelerated cooling,加速冷卻,
21373118,acceleration zone,加速區(空化腐蝕),
21373119,acceptable defect level,容許缺陷標準; 可接受缺陷等級,
21373120,acceptable quality level (AQL),品質合格標準; 品質合格等級; 可接受品質等級,
21373121,acceptable reliability level,可靠性合格標準; 可接受可靠度等級,
21373122,acceptance,接受,
21373123,acceptance criteria,驗收標準; 接受標準; 驗收準則; 接受準則; 接收判據; 合格標準,
21373124,accession,加入,
21373125,accident record,事故紀錄,
21373126,accommodation platform,居住平臺,
21373127,acetone,丙胴; 二甲基酮; 醋酮; 木酮,
21373128,acid soluble content,酸溶物含量,
21373129,acid-proof test,耐酸性試驗,
21373130,acoustic counter measure (ACM),音響反制措施,
21373131,acoustic decoy,音響誘餌,
21373132,acoustic Doppler navigator,都卜勒聲納導航系統,
21373133,acoustic efficiency,聲效率,
21373134,acoustic integration model (AIM),聲學整合模型,
21373135,acoustic radiation reactance,聲輻射抗力,
21373136,acoustic radiation resistance,聲輻射阻力,
21373137,acoustic reciprocity,聲學互易性,
21373138,acoustic wave trace,聲波跡,
21373139,acquisition cost,購置成本; 取得成本,
21373140,acrylic resin,丙烯酸樹脂,
21373141,Action Data Automaton (ADA),戰鬥資訊自動化,
21373142,Action Information Organisation (AIO),作戰情報組織,
21373143,active overboard decoy (AOD),主動船外/水中誘餌,
21373144,active repair time,實際修復時間,
21373145,activity,活度; 活性; 活動性,
21373146,activity coefficient,活性係數; 活度係數,
21373147,activity factor,活性因子,
21373148,actual stress,實際應力,
21373149,adaptive estimate,自適應估計,
21373150,added mass coefficient,附加質量係數,
21373151,adequacy of scantling,寸法充足性,
21373152,adhesion failure,界面破壞,
21373153,adiabatic flame temperature,絕熱火焰溫度,
21373154,advance capability building (ACB),先進能力建構,
21373155,advance maximum in stopping,緊急停俥時的最大前進距離,
