ID,英文詞彙,中文詞彙,中國大陸譯名,更新日期
21365526,achoo,哈啾,阿嚏,
21365527,(fashion show) runway,伸展臺,伸展臺；T臺,
21365528,(instant) ramen,泡麵,方便麵,
21365529,(potato) crisps,洋芋片,土豆片,
21365530,3 in 1 instant coffee,三合一咖啡,一加二咖啡,
21365531,absolute temperature scale,絕對溫標,绝对温标；热力学温标；开氏温标,
21365532,accomplice,共犯,共犯；同案犯,
21365533,acquired immunodeficiency syndrome {=AIDS},愛滋病；後天免疫不全症候群；後天免疫缺乏症候群,爱滋病；后天免疫不全症候群；后天免疫缺乏症候群；获得性免疫缺陷综合征,
21365534,acrophobia,懼高症,恐高症,
21365535,acrylic,壓克力,压克力；有机玻璃,
21365536,acrylic synthetic fiber,壓克力纖維,亞克力纖維；腈纶,
21365537,activate,啟動,激活,
21365538,adhesive bandage,OK繃,創可貼,
21365539,adopt,認養,认养；认领,
21365540,adult website,色情網站,色情网站；黄网,
21365541,adversity quotient,逆境商數,逆境商数；逆商；逆境商；挫折商,
21365542,adviser,指導教授,导师,
21365543,aerobics,有氧運動,有氧运动；有氧代谢；带氧运动,
21365544,aerospace,航太,航天,
21365545,aerospace industry,太空工業,航天工业,
21365546,after-school class,安親班,托班 ；托管班,
21365547,agency fee,仲介費,中介费,
21365548,Air Bridge,空橋；登機橋,空桥；登机桥；廊桥；登机廊桥,
21365549,air quality,空氣品質,空气质量,
21365550,Airbus,空巴；空中巴士,空巴；空中巴士；空客；空中客车,
21365551,airport lounge,候機室；登機室,候机室,
21365552,albinism,白化症；白化病；白子,白化症；白化病；羊白头,
21365553,album,相冊；相簿,相冊；相簿；影集,
21365554,algal bloom,藻華,藻华；水华；藻花,
21365555,Allah,真主；阿拉,真主；安拉,
21365556,alpha ray,阿爾法射線；阿伐射線,阿尔法射线 ；甲种射线,
21365557,altitude,海拔；海拔高度；絕對高度,海拔；海拔高度；绝对高度；拔海,
21365558,alum,白礬；明礬,白矾；明矾；明石,
21365559,Alzheimer's disease,阿茲海默症；阿滋海默症；阿茨海默症,阿兹海默症；阿尔茨海默病,
21365560,ambulance,救護車,救护车；急救车,
21365561,amino acid,胺基酸,氨基酸,
21365562,amniotic fluid,羊水,羊水；胞浆水,
21365563,amobarbital,異戊巴比妥；青發,异戊巴比妥,
21365564,amphetamines,安公子；安非他命,安非他明,
21365565,analogue television,類比電視,模拟电视,
21365566,anchovy,鯷；苦蚵仔,鳀；日本鳀,
21365567,anemoscope,風向儀,向风针,
21365568,angular bisector,角平分線；分角線,角平分线,
21365569,animal-drawn vehicle,獸力車,兽力车；畜力车,
21365570,ankle,足踝；踝部,脚脖子；脚颈子,
21365571,announcement period,公告期,公示期,
21365572,annual leave,年假；特休；特別休假,年假；年休假,
21365573,answer sheet,答案卷,答卷,
21365574,answering machine,電話答錄機,录音电话,
21365575,anthology series,單元劇,单本剧,
21365576,antioxidant,抗氧化劑,抗氧化剂；抗氧剂,
21365577,appeal,訴願,诉愿；行政复议,
21365578,application program{=AP},應用程式,应用程序,
21365579,approach road,便道,便道；辅道,
21365580,aqua ammonia,氨水；阿摩尼亞水,氨水,
21365581,army drama,軍教片,军旅剧,
21365582,Arrest with a Warrant,拘提,拘传,
21365583,arrhythmia,心律不整,心律不整；心律不齐；心律失常,
21365584,artificial intelligence {=AI},人工智慧,人工智能,
21365585,artificial leather,人造皮,人造革,
21365586,artistic roller skating,花式溜冰,花样滑冰,
21365587,Arundinaria simonii,刺竹；苦竹；大勒竹；鬱竹,刺竹；苦竹；大勒竹；鸡筋油竹,
21365588,asbestos,石棉；石綿,石棉,
21365589,ASEAN Free Trade Agreement,東協自由貿易協定,东盟自由贸易协议,
21365590,ASEAN Free Trade Area,東協自由貿易區,东盟自由贸易区,
21365591,Asian Development Bank,亞洲開發銀行；亞銀,亚洲开发银行；亚行,
21365592,aspirin,阿司匹靈；阿斯匹靈,阿司匹林,
21365593,assembly language,組合語言,汇编语言,
21365594,Association of Southeast Asian Nations,東協；東南亞國家協會,东盟；东南亚国家联盟,
21365595,astatine,砈,砹,
21365596,astigmatism,散光；亂視,散光,
21365597,astronaut,太空人；太空飛行員,航天员 ；宇航员,
21365598,atomic number,原子序,原子序数,
21365599,Attention deficit hyperactivity disorder,過動兒,多动儿,
21365600,Attention-deficit hyperactivity disorder {=ADHD},過動症；注意力缺陷過動症,多动症,
21365601,auction,拍賣,拍卖；甩卖,
21365602,Audio and Video Products,影音製品,音像制品,
21365603,authentic,道地,地道,
21365604,autoimmune disease,自體免疫疾病,自身免疫疾病；自身免疫病,
21365605,automatic transmission,自排；自動擋；自動檔,自排；自动挡,
21365606,autonomous car,自駕車,自驾车,
21365607,auxiliary memory{=AM},輔助記憶體,外存储器；辅助存储器,
21365608,avocado,酪梨,鳄梨,
21365609,Avogadro's law,亞佛加厥定律,阿伏加德罗定律,
21365610,Avogadro's number,亞佛加厥數,阿伏伽德罗数,
21365611,awning,雨棚,雨棚；雨搭,
21365612,bachelor,光棍；光棍兒；單身漢,光棍；光棍儿；单身汉；光棍儿汉,
21365613,back cover,封底,封底；封四,
21365614,back hoe,挖土機；挖掘機；怪手,挖土机；挖掘机；掘土机,
21365615,back mirror,後視鏡；後照鏡,后视镜,
21365616,backlash,後座力,反冲力 ；后坐力,
21365617,backpacking,背包客,背包客；背囊客,
21365618,bacon,培根,煙肉,
21365619,bad check,空頭支票；芭樂票,空头支票,
21365620,badge,識別證,识别证；胸卡；胸牌,
21365621,bagel,貝果,贝果；百吉饼,
21365622,baguette,法國麵包；法式長棍麵包,法国面包；法式长棍面包；长法棍,
21365623,ballast,安定器,镇流器,
21365624,ballistic missile,彈道飛彈,弹道导弹；弹道式导弹,
21365625,ballpoint pen,原子筆,圆珠笔,
21365626,bandaid,OK繃,創可貼,
21365627,bandwidth,頻寬；頻帶寬度,频宽；频带宽度；带宽,
21365628,bangs,瀏海,留海；刘海 ；刘海儿,
21365629,barbecue restaurant,燒烤店,烧烤店；串吧；烧烤吧,
21365630,barcode,條碼,条码 ；条形码 ；信息码,
21365631,barcode scanner,條碼掃描器,条码扫描器 ；条形码扫描器,
21365632,barrack,喝倒采,喝倒彩；叫倒好儿,
21365633,base station,基地臺,基地台；基站,
21365634,basic subjects,基礎學科；基本科目；基本學科,基础学科,
21365635,be exposed,穿幫,穿帮；穿崩；穿绷；穿煲,
21365636,bearish,利空,利空；利淡,
21365637,bedding,寢具,卧具；寝具；床品,
21365639,Benedict's solution,本氏液,本立德溶液,
21365640,bento,便當,盒饭,
21365641,berkelium,鉳,锫,
21365642,best seller,暢銷,畅销；旺销,
21365643,bestseller,熱門商品,热门商品；紧俏商品,
21365644,beta ray,貝他射線,贝塔射线；乙种射线,
21365645,betting shop,投注站,投注站；彩点,
21365646,bicycle,單車；自行車；腳踏車；鐵馬,单车；自行车；脚踏车,
21365647,big soup bowl,碗公,海碗,
21365648,billiard,撞球,撞球；台球；桌球,
21365649,binary bit,二進位元；二進制位元,二进制数字；比特,
21365650,biochip,生物晶片,生物芯片,
21365651,biological clock,生理時鐘,生物节律；生物钟,
21365652,biotechnology,生技；生物科技,生技；生物科技；生物技术,
21365653,bit,位元,比特,
21365654,bit per second{=bps},位元每秒；每秒位元數；每秒傳輸的位元數,比特秒；比特每秒；每秒传送位数,
21365655,Black box,黑盒子,黑匣子,
21365656,black coffee,黑咖啡,清咖啡,
21365657,blitzkrieg,閃電戰,闪电战；闪击战,
21365658,Blocked Shot,蓋火鍋,盖火锅；盖帽儿,
21365659,blog,部落格；網誌；網路日誌,博客；网志；网络日志；网络日记,
21365660,blogger,部落客,博客,
21365661,blood donation,捐血,獻血,
21365662,Blue,藍調,布鲁斯,
21365663,Blue Screen of Death,藍白當機畫面,蓝屏；蓝屏死机,
21365664,Boarding Gate,登機門,登机口,
21365665,Boarding Pass,登機證,登机证；登机牌；登机卡,
21365666,body language,肢體語言,肢体语言；体态语,
21365667,Bombax malabarica,木棉；紅棉,木棉；红棉；攀枝花,
21365668,boomerang,迴力鏢；迴旋鏢,回力标；回力镖；回旋标；回旋镖；自归器；飞机板；飞去来器,
21365669,boomerang kid,啃老族,啃老族；傍老族,
21365670,bovine spongiform encephalopathy,狂牛症；牛腦海綿狀病變,疯牛病,
21365671,bowling,保齡球,保龄球；地滚球,
21365672,box,(劇院、球場)包廂,包間,
21365673,box office,票房,票房；片房,
21365674,Boyle's law,波以耳定律,玻意耳定律,
21365675,bra,胸罩,奶罩；乳罩；胸罩；文胸,
21365676,brain death,腦死,脑死亡,
21365677,brainstorming,腦力激盪,脑力激荡；头脑风暴,
21365678,brassard,袖章；臂章,袖章；臂章；袖标,
21365679,break even,保本,保本；保底,
21365680,breathanalyzer,酒測器,吹波机 ；测酒器,
21365681,bridal chamber,洞房；新房,洞房；新房；婚房,
21365682,briefcase,公事包,公文包,
21365683,broadband network,寬頻網路,宽带网络,
21365684,broccoli,青花菜；綠花椰菜,青花菜 ；绿菜花 ；西兰花,
21365685,brodband,寬頻,宽带,
21365686,broiler,童子雞,童子鸡；笋鸡,
21365687,buggy,推車；手推車,推车；手推车；手车,
21365688,building,建築物；建物,建筑物,
21365689,building permit,建築執照；建照,建筑执照,
21365690,bullet,子彈,铳子；冲子,
21365691,bullish,利多,利多；利好,
21365692,bungee jumping,高空彈跳,蹦极；蹦极跳,
21365693,burn,燒錄,烧录；刻录,
21365694,burner,燒錄機；光碟燒錄機,刻录机；光盘刻录机,
21365695,bus,公車；匯流排,公车；汇流排；总线,
21365696,bus exclusive lane,公車專用道,公交车道；公交车专用道,
21365697,bus station,公車站,公交站,
21365698,bus stop,公車站牌,公交車站牌,
21365699,Bushman,布希曼人,布须曼人,
21365700,busy signal,忙線訊號,忙音信号,
21365701,byte{=B},位元組,字节,
21365702,cabbage,高麗菜,圓白菜；洋白菜,
21365703,cable,接線；連接線,接线；连接线；连线,
21365704,cable modem,纜線數據機,电缆调制解调器；线缆调制解调器；线缆调变解调器,
21365705,cache memory,快取記憶體,快取；快取记忆体；高速缓存；高速存储器；高速缓冲存储器,
21365706,calculator,計算機；電子計算機,计算器,
21365707,calendar,行事曆,日程表,
21365708,calla lilies,海芋,馬蹄蓮,
21365709,campervan,露營車,房车,
21365710,campus folk song,校園民歌,台湾校园歌曲,
21365711,campus network,校園網路,校园网络,
21365712,candle,燭；燭光,烛；烛光；坎；坎德拉,
21365713,canned beer,罐裝啤酒,罐装啤酒；听啤；听装啤酒,
21365714,Cannes Film Festival,坎城影展,戛纳影展,
21365715,capacitor,電容；電容器,电容；电容器,
21365716,capillary,微血管,微血管；毛细管；毛细血管,
21365717,carbon dioxide laser,二氧化碳雷射；二氧化碳雷射儀；雷射刀,二氧化碳激光；二氧化碳激光器；激光刀,
21365718,card reader{=CR},讀卡機,读卡机；阅卡机,
21365719,cardiac rate,心率；心跳速率,心率,
21365720,career planning,生涯規劃,生涯规划；生涯设计,
21365721,carpal tunnel syndrome,腕隧道症候群,鼠标手,
21365722,carpool,共乘,拼车,
21365725,Cashier,收銀員,划价,
21365726,cassette,卡帶,卡带；盒带,
21365727,cassette recorder,收錄音機,收录音机；收录机,
21365728,catcher,捕手,捕手；接手,
21365730,cellar,地下室,地下室；地库,
21365731,centralized network,集中式網路,集中式网络,
21365732,cerebral infarction,腦梗塞；缺血性腦中風,脑梗塞；缺血性脑中风；脑梗死,
21365733,cesarean section,剖腹產；剖腹生產,剖腹产；剖宫产,
21365735,channel,通道,渠道,
21365736,chaps,套褲,套裤；袜裤,
21365737,character,字元,字符,
21365738,charge coupled device,電荷耦合元件,电荷耦合器件,
21365739,chawanmushi (Japanese steamed egg custard),茶碗蒸,蛋羹,
21365740,Cheat on,外遇；婚外情,外遇；婚外情；婚外恋,
21365741,Check-in Counter,報到櫃檯,值机岛,
21365742,cheese,乳酪；起司,奶酪；芝士；乳酪；起士；起司；吉士,
21365743,chemical receptor,化學受器,化学受体,
21365744,chess,西洋棋,国际象棋,
21365745,chewing gum,口香糖,口香糖；口胶；香口胶,
21365746,chicken egg,雞蛋,鸡子；鸡蛋；鸡卵；鸡子儿；白果儿,
21365747,chicken powder,雞粉；雞精粉,鸡粉；鸡精粉；鸡精,
21365748,chief executive officer {=CEO},執行長,首席执行官,
21365749,chief operating officer,營運長；首席營運長,运营官 ；首席运营官,
21365750,childcare assistant,保姆,保育员,
21365751,chimneyless industry,無煙工業；無煙囪工業,无烟工业,
21365752,chip,晶片,芯片,
21365753,chip card,晶片卡；智慧卡,智能卡；芯片卡 ；集成电路卡,
21365754,chitchatting,哈拉,海吹,
21365755,chlorofluorocarbons {= CFCs},氟氯碳化物；氟氯碳化合物,氯氟碳化物,
21365756,Christmas,聖誕節；耶誕節,圣诞节,
21365757,chromatid,染色分體,染色单体,
21365758,citellus dauricus,黃鼠；鼲鼠；達烏爾黃鼠,黄鼠；鼲鼠；达乌尔黄鼠；地松鼠；蒙古黄鼠；达斡尔黄鼠,
21365759,citrus sinensis,甜橙,甜橙；广柑,
21365760,claim,理賠,理赔,
21365761,clipboard,剪貼簿,剪貼板,
21365762,clone,複製,克隆,
21365763,cloning,複製,克隆化,
21365764,closet ,壁櫥,壁橱；壁柜,
21365765,cloud computing,雲端運算,云计算,
21365766,cloze,克漏字,完型填空,
21365767,cockade,帽徽,帽徽；帽花,
21365768,cocoa,可可,可可；蔻蔻,
21365769,Cocos Plate,科克斯板塊,科科板块；科科斯板块,
21365770,coin,硬幣；銅板,硬币,
21365771,coin bank,存錢筒,儲蓄罐,
21365772,cold water,涼開水,凉开水；凉白开,
21365773,Collage,拼貼,布堆画；布贴花；布贴画；拨花,
21365774,collective wedding,集體婚禮；集團婚禮；集團結婚,集体婚礼,
21365775,color TV,彩色電視,彩電,
21365776,combine,聯合收穫機,联合收割机；康拜因,
21365777,comedian,搞笑藝人；諧星,搞笑艺人 ；笑星,
