ID,英文詞彙,中文詞彙,更新日期
21331200,100 metres,100公尺(田徑),
21331201,10000 metres,一萬公尺(田徑),
21331202,10000m points race,10000公尺記點賽,
21331203,1000m time trial,個人計時賽(1000m),
21331204,10m air pistol,10 公尺空氣手槍,
21331205,10m air rifle (standing),10 公尺空氣步槍(立姿),
21331206,10m running target (slow and fast runs),10 公尺移動靶(慢速 和快速),
21331207,10m running target mixed (slow and fast runs),10 公尺移動混合靶(慢速和快速),
21331208,110m hurdles,110公尺跨欄(田徑),
21331209,15 Meters Zone,15公尺標示線,
21331210,1500 metres,1500公尺(田徑),
21331211,180 frontside ollie,轉體180度,
21331212,1st flight,第一騰空,
21331213,2 on 1,2打1,
21331214,200 metres,200公尺(田徑),
21331215,20000m elimination,20000 公尺淘汰賽（滑輪溜冰）,
21331216,20km race walk,20公里競走,
21331217,23 meters area,23公尺區,
21331218,25m center fire pistol (preci sion and rapid-fire series),25 公尺中火手槍(慢射和快射組次),
21331219,25m pistol (precision and rapid fire series),25 公尺手槍(慢射和快射組次),
21331220,"25m rapid fire pistol (8, 6 and 4 second series)",25 公尺快射手槍(8，6 和 4 秒組次),
21331221,"25m standard pistol (150, 20and 10 sec. series)",25 公尺標準手槍(150，20 和 10 秒組次),
21331222,2nd flight,第二騰空,
21331223,3 on 3,3對3鬥牛,
21331224,3-2-1 Defense,3-2-1防守,
21331225,"3,000 m steeplechase",3000公尺障礙賽(田徑),
21331226,300/500/1000m sprint tournament,300/500/1000 公尺爭先賽（滑輪溜冰）,
21331227,3000m/5000m relays,3000/5000公尺接力賽,
21331228,"300m rifle 3-positions (kneeling, prone, standing)",300 公尺步槍 3 姿(跪姿，臥姿，立姿),
21331229,300m rifle prone,300 公尺步槍臥姿,
21331230,"300m standard rifle 3-positions (kneeling, prone, standing)",300 公尺標準步槍 3姿(跪姿，臥姿，立姿),
21331231,360 degree spinning kick,360度後旋踢,
21331232,360 〬jump,360度跳轉,
21331233,360 shove-it kickflip,轉體360度,
21331234,4*100 relay,400公尺接力(田徑),
21331235,4*400 relay,1600公尺接力(田徑),
21331236,400 metres,400公尺(田徑),
21331237,400m hurdles,400公尺跨欄(田徑),
21331238,470 class,470級帆船,
21331239,49er,49人型帆船,
21331240,5-1 Attack Type,5-1攻擊陣式(手球),
21331241,5-1 Defense,5-1防守(手球),
21331242,5000 metres,5000 公尺(田徑),
21331243,500m time trial,個人計時賽(500m),
21331244,50km race walk,50公里競走(田徑),
21331245,50m pistol,50 公尺手槍,
21331246,"50m rifle 3-positions (kneeling, prone, standing)",50 公尺步槍 3 姿(跪姿，臥姿，立姿),
21331247,50m rifle prone,50 公尺步槍臥姿,
21331248,50m running target (slow and fast runs),50 公尺移動靶(慢速和快速),
21331249,50m running target mixed(slow and fast runs),50 公尺混合移動靶(慢速和快速),
21331250,6-0 Defense,6-0防守(手球),
21331251,800 metres,800公尺(田徑),
21331252,a Cycle Action of Finswimming,蹼泳動作週期,
21331253,a frame,蝦米跳,
21331254,a Rhythm Action of Finswimming,蹼泳動作節奏,
21331255,abandon ,終止 ,
21331256,abandonment signals,放棄信號,
21331257,abdomen cut,劈腹部,
21331258,abusive gestures,侮辱性的動作,
21331259,abusive language,侮辱性或辱罵性言語,
21331260,acceleration zone,加速區,
21331261,accreditation cards,註冊卡,
21331262,accreditation pass,認可通行證,
21331263,accumulated foul ,累計犯規,
21331264,accuracy of mark laying,布標的準確度,
21331265,ace   ,準確打擊{高爾夫},
21331266,achievement motivation,成就動機,
21331267,Achilles Tendinitis,跟腱炎；阿基里斯肌腱炎,
21331268,Achilles Tendon,阿基里斯腱,
21331269,acrobatic gymnastics,特技體操,
21331270,Acrobatic Gymnastics World Championships,特技體操世錦賽,
21331271,acrobatic movement,特技動作,
21331272,Acrobatic technical committee{=TC-ACRO},特技體操技術委員會,
21331273,Act of God,不可抗力,
21331274,action area ,動作區域,
21331275,action stage,動作階段,
21331276,active dynamic living,動態生活,
21331277,active load,主動負荷,
21331278,active rest,動態休息,
21331279,adaptation to high altitude,高地適應,
