ID,英文詞彙,中文詞彙,更新日期
21368438,presidential election,總統大選,
21368439,legislative election,立法委員選舉,
21368440,mayoral election,市長選舉,
21368441,county/city councilor election,縣市議員選舉,
21368442,township mayor election,鄉鎮市長選舉,
21368443,village & neighborhood chief election,村里長選舉,
21368444,political platform presentation,政見發表會,
21368445,multi-member constituency,複數選區,
21368446,single-member constituency,單一選區,
21368447,candidate registration,候選人登記,
21368448,electoral roll,選舉人名冊,
21368449,candidate's platform,候選人政見,
21368450,campaign expenditure(s),競選經費,
21368451,political donation,政治獻金,
21368452,campaign headquarters;campaign HQ,競選總部,
21368453,campaign team,競選團隊,
21368454,campaign convoy;campaign motorcade,競選車隊,
21368455,street canvassing;street campaigning,街頭宣傳,
21368456,campaign rally;election rally;political rally,造勢活動,
21368457,campaign banner,競選旗幟,
21368458,official election information summary,選舉公報,
21368459,ballot monitor,監票員,
21368460,polling station,投票所,
21368461,vote counting station,開票所,
21368462,ballot,選票,
21368463,valid ballot,有效票,
21368464,invalid ballot,無效票,
21368465,spoiled ballot,廢票,
21368466,vote counting;to count the votes,開票,
21368467,vote counting results;vote count,開票結果,
21368468,elected;win (the election),當選,
21368469,not elected;lose (the election),落選,
21368470,party vote,政黨票,
21368471,constituency legislator,區域立委,
21368472,legislator-at-large;at-large legislator,不分區立委,
21368473,change of ruling party,政黨輪替,
21368474,campaign strategy,選舉佈局；選舉策略,
21368475,election manipulation;election maneuvering;election spin,選舉操作,
21368476,campaign promotion materials,競選文宣,
21368477,campaign vehicle,宣傳車,
21368478,political promise;political pledge,政治承諾,
21368479,political confrontation,政治對立,
21368480,pre-election golden week,選舉黃金週,
21368481,"""over-the-air campaign""",(選舉)空戰,
21368482,"""on-the-ground campaign""",(選舉)陸戰,
21368483,broken campaign promise;renege on a campaign pledge,承諾跳票,
21368484,constituent services,選民服務,
21368485,grassroots voters,基層選民,
21368486,political spectrum,政治光譜,
21368487,political stance;political position,政治立場,
21368488,red-baiting,抹紅,
21368489,campaign pledge;campaign promise,競選承諾,
21368490,secret ballot,不記名投票,
21368491,election rules,選舉規則,
21368492,voting mechanism;voting system,投票機制,
21368493,campaign slogan,競選標語,
21368494,street canvassing,掃街拜票；(選舉)掃街,
21368495,saturation advertising,鋪天蓋地的宣傳,
21368496,joint campaign(ing),聯合競選,
21368497,express a political stance,(選舉)表態,
21368498,election day,投票日,
21368499,election observation,選舉觀察,
21368500,dispute over election results;electoral dispute,選舉結果爭議,
21368501,election fraud;electoral fraud,選舉舞弊,
21368502,opposition camp,反對陣營,
21368503,pro-… camp; supporters,支持陣營,
21368504,political alliance,政治連線,
21368505,party primary,黨內初選,
21368506,Tangwai movement,黨外運動,
21368507,money politics; “black gold” politics,黑金政治,
21368508,political transparency,政治透明度,
21368509,constitutional reform,憲政改革,
21368510,democratic consolidation,民主鞏固,
21368511,political aristocracy,政治權貴,
21368512,regional election,區域選舉,
21368513,inter-party collaboration,政黨合作,
21368514,campaign focus,競選焦點,
21368515,media influence,媒體影響力,
21368516,centrist voter; independent voter; non-partisan voter; swing voter,中間選民,
21368517,election regulations; electoral regulations,選舉法規,
21368518,political maneuvering,政治操作,
21368519,party infighting,政黨內鬥,
21368520,election litigation,選舉訴訟,
21368521,political negotiation,政治協商,
21368522,fair election,公平選舉,
21368523,presidential election system,總統選制,
21368524,voter mobilization; electoral mobilization; campaign mobilization,選舉動員,
21368525,electoral boundary drawing; electoral district drawing,選區劃分,
21368526,(election) rally,支持者集會,
21368527,voter choice ; voters' choice,選民抉擇,
21368528,bandwagon effect; “watermelon” effect,西瓜效應,
21368529,election runner-up,落選頭,
21368530,iron vote; die-hard supporter,鐵票,
21368531,"""parachute"" candidate",空降部隊,
21368532,"""air votes"";unsubstantiated votes",空氣票,
21368533,come-from-behind win;come-from-behind victory;turnaround win;turnaround victory,逆轉勝,
21368534,strategic voting;tactical voting,棄保效應,
21368535,mole,暗樁,
21368536,smear campaign,抹黑戰,
21368537,north-south divide,南北差距,
21368538,saturation (campaign),鋪天蓋地(宣傳),
21368539,domino effect,骨牌效應,
21368540,sudden reversal,豬羊變色,
21368541,go head-to-head;lock horns,短兵相接,
21368542,grassroots mobilization,草根動員,
21368543,stronghold,鐵票區,
21368544,militant Blue/Green,戰鬥藍/綠,
21368545,compensated rally-goer,走路工,
21368546,human wave tactics,人海戰術,
21368547,fortuitously gain a weapon(to use against an opponent),撿到槍,
21368548,sea of flags/pennants/banners,旗海,
21368549,motorcade canvassing,車隊掃街,
21368550,"""plant a flag""; establish a presence (in an opposition stronghold)",插旗,
21368551,resign to run (for election),辭職參選,
21368552,tactics to distract voters,投票煙霧彈,
