ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
17337660,band-aid,OK繃,,創可貼,2022-07-15
17337661,bandaid,OK繃,,創可貼,2022-07-15
17337662,adhesive bandage,OK繃,,創可貼,2022-07-15
17337663,sticking plaster (UK),OK繃,,創可貼,2022-07-15
17337664,artificial intelligence,人工智慧,,人工智能,2022-07-15
17337665,artificial leather,人造皮,,人造革,2022-07-15
17337666,sauna,三溫暖,,桑拿,2022-07-15
17337667,debris flow,土石流,,泥石流,2022-07-15
17337668,satellite dish,小耳朵,,小鍋,2022-07-15
17337669,netbook,小筆電,,上網本,2022-07-15
17337670,developed country,已開發國家,,已發展國家、發達國家,2022-07-15
17337671,fixed price,不二價,,一口價,2022-07-15
17337672,non-stick pan,不沾鍋,,不粘鍋,2022-07-15
17337673,insider trading,內線交易,,內幕交易,2022-07-15
17337674,meter,公尺,,米,2022-07-15
17337675,bus stop,公車站,,公交站,2022-07-15
17337676,briefcase,公事包,,公文包,2022-07-15
17337677,public hearing,公聽會,,聽證會,2022-07-15
17337678,La Niña,反聖嬰現象,,拉尼娜現象,2022-07-15
17337679,cornstarch,(玉米)太白粉,,生粉,2022-07-15
17337680,food starch,太白粉,,生粉,2022-07-15
17337681,tapioca starch,(木薯)太白粉,,生粉,2022-07-15
17337682,potato starch,(馬鈴薯)太白粉,,生粉,2022-07-15
17337683,astronaut,太空人,,宇航員,2022-07-15
17337684,space shuttle,太空梭,,航天飛機,2022-07-15
17337685,platform,月臺,,站臺,2022-07-15
17337686,platform gate,月臺門,,屏蔽門,2022-07-15
17337687,synchronised swimming,水上芭蕾,,花樣游泳,2022-07-15
17337688,level,水準,,水平,2022-07-15
17337689,motherboard,主機板,,主板,2022-07-15
17337690,ICU,加護病房,,重症監護病房,2022-07-15
17337691,private dining room,包廂,,包間,2022-07-15
17337692,box,(劇院、球場)包廂,,包間,2022-07-15
17337693,nail polish remover,去光水,,洗甲水,2022-07-15
17337694,outer space,外太空,,外層空間,2022-07-15
17337695,foreign exchange reserves,外匯存底,,外匯儲備,2022-07-15
17337696,railroad crossing,(鐵路)平交道,,道口,2022-07-15
17337697,level crossing,(鐵路)平交道,,道口,2022-07-15
17337698,grade crossing,(鐵路)平交道,,道口,2022-07-15
17337699,Kindergarten,幼稚園,,幼兒園,2022-07-15
17337700,gas stove,瓦斯爐,,燃氣灶,2022-07-15
17337701,menstrual period,生理期,,例假,2022-07-15
17337702,monthly period,生理期,,例假,2022-07-15
17337703,push-up,伏地挺身,,俯臥撑,2022-07-15
17337704,press-up,伏地挺身,,俯臥撑,2022-07-15
17337705,light pollution,光害,,光污染,2022-07-15
17337706,disk,光碟,,光盤,2022-07-15
17337707,optical disk (disc) drive,光碟機,,光盤驅動器、光驅,2022-07-15
17337708,home run,全壘打,,本壘打,2022-07-15
17337709,accomplice,共犯,,同案犯,2022-07-15
17337710,ice cream,冰淇淋,,冰淇淋、冰激凌,2022-07-15
17337711,row,列,,行,2022-07-15
17337712,print,列印,,打印,2022-07-15
17337713,printer,印表機,,打印機,2022-07-15
17337714,home team,地主隊,,主隊,2022-07-15
17337715,character,字元,,字符,2022-07-15
17337716,piggy bank,存錢筒,,儲蓄罐,2022-07-15
17337717,money box,存錢筒,,儲蓄罐,2022-07-15
17337718,coin bank,存錢筒,,儲蓄罐,2022-07-15
17337719,after-school class,安親班,,托管班,2022-07-15
17337720,busy signal,忙線訊號,,忙音信號,2022-07-15
17337721,busy tone,忙線訊號,,忙音信號,2022-07-15
17337722,vending machine,自動販賣機,,自動售貨機,2022-07-15
17337723,vehicle license,行車執照,,行駛證,2022-07-15
17337724,vehicle licence,行車執照,,行駛證,2022-07-15
17337725,vehicle registration,行車執照,,行駛證,2022-07-15
17337726,mobile phone,行動電話,,移動電話,2022-07-15
17337727,pedestrian crossing,行人穿越道,,人行橫道,2022-07-15
17337728,pedestrian mall,行人徒步區,,步行街,2022-07-15
17337729,chess,西洋棋,,國際象棋,2022-07-15
17337730,bit,位元,,比特,2022-07-15
17337731,server,伺服器,,服務器,2022-07-15
17337732,(fashion show) runway,伸展臺,,伸展臺、T臺,2022-07-15
17337733,catwalk,伸展臺,,伸展臺、T臺,2022-07-15
17337734,operation system,作業系統,,操作系統,2022-07-15
17337735,clone,克隆,,複製,2022-07-15
17337736,disposable chopsticks,免洗筷,,一次性筷子,2022-07-15
17337737,refrigerant,冷媒,,製冷劑、冷媒,2022-07-15
17337738,student loans,助學貸款,,貸學金,2022-07-15
17337739,hair dryer,吹風機,,電吹風,2022-07-15
17337740,volunteer,志工,,志願者,2022-07-15
17337741,flash memory,快閃記憶體,,閃存,2022-07-15
17337742,play make-believe,扮家家酒,,過家家,2022-07-15
17337743,play house,扮家家酒,,過家家,2022-07-15
17337744,return on investment,投資報酬率,,投資回報率,2022-07-15
17337745,salad,沙拉,,色拉、沙律、沙拉,2022-07-15
17337746,soft drink,汽水,,軟飲,2022-07-15
17337747,shaver,刮鬍刀,,剃鬍刀,2022-07-15
17337748,kiwifruit,奇異果,,獼猴桃,2022-07-15
17337749,nanometer,奈米,,納米,2022-07-15
17337750,extension cords,延長線,,接線板,2022-07-15
17337751,pizza,披薩,,比薩,2022-07-15
17337752,USB flash Drive,抽取式磁碟,,移動式儲器,2022-07-15
17337753,instant noodles,泡麵,,方便麵,2022-07-15
17337754,(instant) ramen,泡麵,,方便麵,2022-07-15
17337755,silicon valley,矽谷,,矽谷,2022-07-15
17337756,shell company,空頭(殼)公司,,皮包公司,2022-07-15
17337757,shell corporation,空頭(殼)公司,,皮包公司,2022-07-15
17337758,boby language,肢體語言,,體態語,2022-07-15
17337759,figure skating,花式溜冰,,花樣溜冰,2022-07-15
17337760,Guinness World Records,金氏世界紀錄,,吉尼斯世界紀錄,2022-07-15
17337761,green pepper,青椒,,柿子椒,2022-07-15
17337762,mailbox,信箱,,郵箱,2022-07-15
17337763,bento,便當,,盒飯,2022-07-15
17337764,security,保全,,保安、保全,2022-07-15
17337765,warranty period,保固期,,保修期,2022-07-15
17337766,polystyrene,保麗龍,,泡沫塑料,2022-07-15
17337767,viagra,威而鋼,,偉哥,2022-07-15
17337768,cooperative education,建教合作,,廠校掛鉤,2022-07-15
17337769,CRT(Cathode Ray Tube),映像管,,顯像管,2022-07-15
17337770,potato chips,洋芋片,,土豆片,2022-07-15
17337771,(potato) crisps,洋芋片,,土豆片,2022-07-15
17337772,facial cleansing milk,洗面乳,,洗面奶,2022-07-15
17337773,taxi,計程車,,出租車,2022-07-15
17337774,negative growth,負成長,,負增長,2022-07-15
17337775,style,風格,,風範、範兒,2022-07-15
17337776,homepage,首頁,,主頁,2022-07-15
17337777,correction fluid,修正液,,修正液、塗改液,2022-07-15
17337778,ballpoint pen,原子筆,,圓珠筆,2022-07-15
17337779,late-night snack,宵夜,,夜宵,2022-07-15
17337780,donate blood,捐血,,獻血,2022-07-15
17337781,blood donation,捐血,,獻血,2022-07-15
17337782,desktop computer,桌上型電腦、桌機,,檯式計算機、檯式機,2022-07-15
17337783,wallpaper,桌布,,壁紙,2022-07-15
17337784,calla lilies,海芋,,馬蹄蓮,2022-07-15
17337785,bra,胸罩,,文胸、胸罩,2022-07-15
17337786,aerospace,航太,,航天,2022-07-15
17337787,grassroots ambassador,草根大使,,民間大使,2022-07-15
17337788,Japanese steamed egg custard,茶碗蒸,,蛋羹,2022-07-15
17337789,chawanmushi (Japanese steamed egg custard),茶碗蒸,,蛋羹,2022-07-15
17337790,memory,記憶體,,存儲器,2022-07-15
17337791,paper clip,迴紋針,,曲別針、回形針,2022-07-15
17337792,debug,除錯,,調試,2022-07-15
17337793,potato,馬鈴薯,,土豆,2022-07-15
17337794,bungee jumping,高空彈跳,,蹦極跳,2022-07-15
17337795,cabbage,高麗菜,,圓白菜、洋白菜,2022-07-15
17337796,clipboard,剪貼簿,,剪貼板,2022-07-15
17337797,record store,唱片行,,音像店,2022-07-15
17337798,read-only memory,唯讀記憶體,,只讀存儲器,2022-07-15
17337799,port,埠,,端口,2022-07-15
17337800,bacon,培根,,煙肉,2022-07-15
17337801,project,專案,,項目,2022-07-15
17337802,tempered glass,強化玻璃,,鋼化玻璃,2022-07-15
17337803,lottery ticket,彩券,,彩票,2022-07-15
17337804,color TV,彩視,,彩電,2022-07-15
17337805,rescue team,救難隊,,搶險隊,2022-07-15
17337806,activate,啟動,,激活,2022-07-15
17337807,prefab,組合屋,,活動板房,2022-07-15
17337808,container,貨櫃,,集裝箱,2022-07-15
17337809,floppy disk,軟碟,,軟盤,2022-07-15
17337810,floppy disk drive,軟碟機,,軟驅,2022-07-15
17337811,software,軟體,,軟件,2022-07-15
17337812,DINK(Double Income No Kids),頂客族,,丁客族,2022-07-15
17337813,microphone,麥克風,,話筒,2022-07-15
17337814,single mother,單親媽媽,,獨身媽媽,2022-07-15
17337815,literary journalism,報導文學,,報告文學,2022-07-15
17337816,zebra crossing,斑馬線,,斑馬線、橫道線,2022-07-15
17337817,chip,晶片,,芯片,2022-07-15
17337818,smartphone,智慧型手機,,智能機,2022-07-15
17337819,intellectual property rights,智慧財產權,,知識產權,2022-07-15
17337820,"disabled,handicapped",殘障,,殘疾,2022-07-15
17337821,cursor,游標,,光標,2022-07-15
17337822,ferry,渡輪,,輪渡,2022-07-15
17337823,spoon,湯匙,,湯勺,2022-07-15
17337824,focus,焦點,,亮點,2022-07-15
17337825,unlicensed taxi,無照計程車,,黑車,2022-07-15
17337826,tomato,番茄,,西紅柿,2022-07-15
17337827,mountain bike,登山車,,山地車,2022-07-15
17337828,hard drive,硬碟,,硬盤,2022-07-15
17337829,hardware,硬體,,硬件,2022-07-15
17337830,program,程式,,程序,2022-07-15
17337831,programmer,程式員,,程序員,2022-07-15
17337832,notebook,筆記型電腦,,筆記本電腦,2022-07-15
17337833,menu,菜單,,菜譜,2022-07-15
17337834,ultrasonic wave,超音波,,超聲波,2022-07-15
17337835,developing country,開發中國家,,發展中國家,2022-07-15
17337836,roller coaster,雲霄飛車,,過山車,2022-07-15
17337837,black coffee,黑咖啡,,清咖啡,2022-07-15
17337838,wound,傷口,,創面,2022-07-15
17337839,microblog,微網誌,,微博,2022-07-15
17337840,joystick,搖桿,,手柄,2022-07-15
17337841,mouse,滑鼠,,鼠標器,2022-07-15
17337842,defective product,瑕疵品,,殘品、殘次品,2022-07-15
